id,source,text,word_count,bucket,toxic,severe_toxic,obscene,threat,insult,identity_hate,llm_model,cost_usd
civilcomments-bb1b4c148d6527d4cb73,civil_comments,It is wonderful to see the Cheeto Jesus slowly being drawn tighter and tighter into the web of lies that surely will strangle him! And it's great Schadenfreude to know he's too stupid to stop himself!!,36,insult,1,0,0,0,1,0,civil-comments-human-crowd,0.0
civilcomments-bab149899cd34b8021e5,civil_comments,"""Treasury Secretary Steven Mnuchin told Fox News Channel’s “Sunday Morning Futures” that “we are not touching those now.” Ok the question should have been asked, If not now, when?",30,neutral,0,0,0,0,0,0,civil-comments-human-crowd,0.0
civilcomments-cc2b7cb601816d541f43,civil_comments,"from the article: ""It is a single-family residence and this was one family,"" Hettrick said."" Rental unit or owner occupied?",21,neutral,0,0,0,0,0,0,civil-comments-human-crowd,0.0
civilcomments-ab966b4a13693d6ebae2,civil_comments,"Roy, I don't know the final figure, but Save Our City did spend at least $200K or so on political materials during the fall election. Most of it went to TV and radio.",33,neutral,0,0,0,0,0,0,civil-comments-human-crowd,0.0
civilcomments-dff1887ffcad82526e29,civil_comments,"she is a common criminal and the American voters recognized that and firmly rejected her. Gerry I am sorry to hear about your illness, hope you recover.",27,neutral,0,0,0,0,0,0,civil-comments-human-crowd,0.0
civilcomments-c19e946e6a803daf0652,civil_comments,Then UAA should ban alcohol too....,6,neutral,0,0,0,0,0,0,civil-comments-human-crowd,0.0
civilcomments-63aa3a9e4109925d0c06,civil_comments,He probably won't leave his wife or his f-buddy. He'll likely just find more f-buddies. This woman will wind up number six on his bootie call list. Guys like this will irrigate as many fields as they can find.,41,neutral,0,0,0,0,0,0,civil-comments-human-crowd,0.0
civilcomments-33b1b0e86d1648717cd8,civil_comments,"How patriotic and cowardly of you. Love thy neighbor and all that crap, eh?",14,insult,1,0,0,0,1,0,civil-comments-human-crowd,0.0
civilcomments-ff5f256091c97ad66aca,civil_comments,"Precisely! About an hour ago I posted a joke comment here, which was only regurgitating statements that G&M authors have been making about President Trump for months, such as Trump is a Liar, Trump is a Racist, Trump is Orange, etc... - I used only the language that the G&M itself has used to deride Mr. Trump, and they deemed my regurgitation fit for BANISHMENT! Hahaha",67,insult,1,0,0,0,0,0,civil-comments-human-crowd,0.0
civilcomments-e7ad28e02a6590fb1705,civil_comments,clearly you show how you are the jerk with such bs you spew,13,insult,1,0,0,0,1,0,civil-comments-human-crowd,0.0
civilcomments-db877e46fe922dac23d6,civil_comments,"""Fake news"" is a fake concept. Did it happen, are people talking about it, did they decide to publish it, and people decided to read it and/or comment on it? Then it's news, whether some people think it is worthy or not. To me, real ""fake news"" is a completely made-up, fact-free story (because it didn't happen.) Somehow, some goofballs bastardized the meaning, co-opting it into judgment and whether a negative assessment of a news piece meant that the piece shouldn't exist at all. Pretty bogus, in my humble opinion. Face it, we don't really control what gets published, and it's our choice whether to consume it or not. And what is worthy of publishing and/or reading is a subjective, variable perspective.",127,neutral,0,0,0,0,0,0,civil-comments-human-crowd,0.0
civilcomments-693efd6c0dc8d12f629b,civil_comments,Kate Dobe is actually Kate Bode.,6,neutral,0,0,0,0,0,0,civil-comments-human-crowd,0.0
civilcomments-a34a7cdbfdee43018afa,civil_comments,I look at what the Liberals are doing to Canada and I cry.,13,neutral,0,0,0,0,0,0,civil-comments-human-crowd,0.0
