id,source,text,word_count,bucket,toxic,severe_toxic,obscene,threat,insult,identity_hate,llm_model,cost_usd
civilcomments-4cc7f24ebe087e348dc5,civil_comments,Passenger voluntarily accepts airline's bumping offer.,6,neutral,0,0,0,0,0,0,civil-comments-human-crowd,0.0
civilcomments-0fc6d9037a7f6289e916,civil_comments,"Mike - will you personally take responsibility for any terrorist attacks by Muslim refugees? If not, you need to stand down.",20,insult,1,0,0,0,0,0,civil-comments-human-crowd,0.0
civilcomments-a3452d6a6c6a583bf8c2,civil_comments,"Okay, let's have a statement from Francis that says, ""To live in conjugal union without marriage is no longer a sin. It once was considered such, but the church now has adapted to popular cultural practices and was always wrong to say that non-marital conjugal co-habitation is sinful."" What is so hard about saying that, if that is what is meant?",63,neutral,0,0,0,0,0,0,civil-comments-human-crowd,0.0
civilcomments-15b1c01cf5592f63db97,civil_comments,I bet you'd like that. Any suggestions once we get a room??,12,neutral,0,0,0,0,0,0,civil-comments-human-crowd,0.0
civilcomments-5e29ee16e85262253e1c,civil_comments,"So, the next Liberal move is making this motion becoming a law.",12,neutral,0,0,0,0,0,0,civil-comments-human-crowd,0.0
civilcomments-628061621f50975d3fd1,civil_comments,One does have to keep in mind that Gordon is a Federal Liberal of the old school. Not that he believes that the provinces should not have any rights at all under our constitution but that any such rights should be subservient to all the rights of the Federal government. I don't feel embarrassed in any way by this agreement. The whole history of Canada has been built on such negotiation. B.C. Would have not even entered into Confederation without the Trans-Canada railway which no other province really wanted.,91,neutral,0,0,0,0,0,0,civil-comments-human-crowd,0.0
civilcomments-816b58936db58342e9c5,civil_comments,If I had to watch shows like this one I'd have my toe on the trigger of my shotgun.,19,threat,1,0,0,1,0,0,civil-comments-human-crowd,0.0
civilcomments-a0a12e5bef27b3673c1f,civil_comments,"Cenovus just pulled a ""Crescent Point Energy"" on a large scale.. I, unfortunately have both of these ""Dogs"" in my Portfolio..",21,neutral,0,0,0,0,0,0,civil-comments-human-crowd,0.0
civilcomments-ecbb0df5f7b11eaffba1,civil_comments,"Unfortunately, at any given time in our history a certain population segment of America always is dragging us down because of their fear, ignorance and bigotry. We've made some progress but President Obama is right...much remains to be done.",40,neutral,0,0,0,0,0,0,civil-comments-human-crowd,0.0
civilcomments-47d6dfba1e7085ecb815,civil_comments,Elect Trump because he is the most hated man in the country? Perfect logic from one of the mentally deficient followers of the worst candidate ever offered by any party in the history of the nation.,36,insult,1,0,0,0,1,0,civil-comments-human-crowd,0.0
civilcomments-2044224f889904235532,civil_comments,This coward is still looking for ways to tax anyone except people who live here.,15,insult,1,0,0,0,1,0,civil-comments-human-crowd,0.0
civilcomments-47394ca55d79bd310b55,civil_comments,"Re: Have a referendum FIRST! Before we stumble down this endless hill of electoral reform, ask voters: ""Do you want to start electoral reform process? Yes or No?"" Let the debate happen first, before politicians start the years-long processes themselves. The people most looking forward to it are Constitutional lawyers, politicians and the media. Years and years of commissions and committees and conferences from coast to coast. On the Internet too. Things work well politically here in Canada. We're viewed as one of the strongest democracies in the world. Don't our politicians have more important issues to deal with than this? Referendum FIRST! OH, and if our governments are talking about these matters, the matter of Senate REFORM/ABOLITION will also come to the fore. It is has simmered consistently for decades - unlike change to the House. Yearning for Senate reform won't away and does Constitutionally require a referendum for voters - unlike change to the House. Paths to nowhere?",160,neutral,0,0,0,0,0,0,civil-comments-human-crowd,0.0
civilcomments-a376bbf00e90ff604ce4,civil_comments,"Using this philosophy the people of Southeast (including legislatures) should not receive a PFD, it should be used to fund the Alaska Ferry System, those in the railbelt should not receive a PFD as it should go towards the roads, and infrastructure that are paid by the state. Rural residents shouldn't get a PFD it should be used to pay for the energy equalization program. Start to see a pattern? Eventually he would like to see everyone's PFD pulled from them to pay for corporate subsidies from the Alaska Legislature.",90,neutral,0,0,0,0,0,0,civil-comments-human-crowd,0.0
civilcomments-aeefcc5f036d15e4c476,civil_comments,"""Singing praises"" are your words. I gave her a small amount of credit for deviating from the GOP pack. Far better than Sullivan. Murkowski was just reelected. She will continue to be reelected unless something dramatic occurs. Especially if she moderates her positions a slight bit occasionally. That's Alaska reality. Sullivan on the other hand is no shoe-in for 2018. That is where my focus will be. Contrasting the two is a useful exercise - he makes Murky look like a lefty, or rather, Murky makes him look like he's to the right of Bannon (which he may be).",99,neutral,0,0,0,0,0,0,civil-comments-human-crowd,0.0
civilcomments-49957cf3f6446b56a5be,civil_comments,"Mr Leach Perhaps you can follow the recommendations of the UN IPCC climate report which stated in their 2013 IPCC report (AR5) in Chapter 2 that there is ""low confidence"" that man-made CO2 has affected the frequency or intensity of extreme weather events such as hurricanes, droughts, floods, and storms.",51,neutral,0,0,0,0,0,0,civil-comments-human-crowd,0.0
civilcomments-9fbcaa32336d172b19cc,civil_comments,Too_many_pro_choice_states,5,neutral,0,0,0,0,0,0,civil-comments-human-crowd,0.0
civilcomments-d9a122e9bb46c2f40ffb,civil_comments,"“[T]he atmosphere in the room was very warm, very compassionate. If I could describe his demeanor with us, it was gentle, soft-spoken, and tender, and I felt like he got what we’ve given. he understood. It was a very good meeting, and we talked about, we didn’t talk about the Khan situation at all, because frankly, as a Gold Star mom, I’m not that easily offended by things like this. I don’t hold it against anybody else who is. I’m just not personally, and most of the people I know aren’t personally offended by things like that. So, we talked about substantive things.” - Gold Star mom Karen Vaughn, on her interactions and meetings with Presidential nominee Donald Trump",126,neutral,0,0,0,0,0,0,civil-comments-human-crowd,0.0
civilcomments-75406ad9a77eee931076,civil_comments,"Thank you, maybe we can all be a little more careful. I, myself, have been guilty of commenting back, mostly in frustration, but, will be more mindful in the future.",30,neutral,0,0,0,0,0,0,civil-comments-human-crowd,0.0
civilcomments-ea1a3b10280da9f77335,civil_comments,"Much of the world is just tiring of a socialist, anti-business Canada. Too many opportunities elsewhere to waste time with the Canadian mentality.",24,neutral,0,0,0,0,0,0,civil-comments-human-crowd,0.0
civilcomments-191bec2b294df5974d76,civil_comments,"In a pluralistic society, we need to reset our compass. Pierre Trudeau, Canada's PM in 1968-79, 1980-4, realized that Canada had to change its attitude and laws to reflect the multicultural mosaic that Canada had become. His son Justin now needs to continue the change and build tolerance and social justice that includes all of us. The US needs to address the same issues to maintain social peace.",70,neutral,0,0,0,0,0,0,civil-comments-human-crowd,0.0
civilcomments-63957a41b637fd84bda5,civil_comments,Actually she's frickin' crushed.,4,profanity,1,0,1,0,0,0,civil-comments-human-crowd,0.0
civilcomments-8a7a81ebb8a5e503caf1,civil_comments,So does not collecting enough revenue to pay the bills as it turns out.,14,neutral,0,0,0,0,0,0,civil-comments-human-crowd,0.0
civilcomments-46d5854db9c0a7ddf3cb,civil_comments,"And at least with the Chinese ones, we could probably buy them at Walmart just like all the other Chinese stuff we buy.",23,neutral,0,0,0,0,0,0,civil-comments-human-crowd,0.0
civilcomments-083d1eede9ad19c633bd,civil_comments,This sets a very dangerous precedent I think.,8,neutral,0,0,0,0,0,0,civil-comments-human-crowd,0.0
civilcomments-25d1e9779539a56bea57,civil_comments,Chicken and waffles? Barf. Just head to the moose for the best wings ever. Forget all this fancy ass weird plastic food.,22,profanity,1,0,1,0,0,0,civil-comments-human-crowd,0.0
civilcomments-491324864984b371b307,civil_comments,Just to note that President Trump supporters were asked to not wear hats or signs but the President Trump haters seem to be wearing their hate President Trump pussy hats including a leader in the demonstration. Non-political my butt.,40,insult,1,0,0,0,0,0,civil-comments-human-crowd,0.0
civilcomments-26af0d6b70e1c39f2b8b,civil_comments,Should Bombardier be subsidised? The article makes good points and I think governments get a good return in terms of jobs and taxes. It's the shareholders who are the BIG losers.,31,insult,1,0,0,0,1,0,civil-comments-human-crowd,0.0
civilcomments-2adf0c427ada7d753110,civil_comments,Somebody in the WH took donnie'$ phone away this weekend. Ivanka?,11,neutral,0,0,0,0,0,0,civil-comments-human-crowd,0.0
civilcomments-81ee8127a5ef1cbe9e8d,civil_comments,"Shocking! Yikes, you figured out the Grand Plan Mop & Pail! Manafort KNEW ten years ago that he would work on Trump's campaign someday! He also knew that Trump would be president in 2017 (hey, who didn't???) way back in 2004! That's why he conspired to resign from Trump's campaign last summer! So he could be an influence! Shocking!!",58,neutral,0,0,0,0,0,0,civil-comments-human-crowd,0.0
