id,text,bucket,toxic,severe_toxic,obscene,threat,insult,identity_hate,score_toxic,score_severe_toxic,score_obscene,score_threat,score_insult,score_identity_hate,annotation_source
civilcomments-15ef2d40135b6ad9a468,Because the Police cannot handle all the crime/theft. Homeowners are taking care of their business themselves. Sorry.,neutral,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,civil-comments-human-crowd-aggregate
civilcomments-3d8462fd2d442554845d,"Crew member could use more tactful aloha to avoid the situation. Like I'll give you the blanket. no charge, but be discreet about it cause I may lose my job. May save airline and passengers a lot of grief. I weren't there, but since he wasn't arrested it seems it was like an over reaction/ exageration on crews part.",neutral,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,civil-comments-human-crowd-aggregate
civilcomments-a8268921f99a799622c7,"""And how many of those ""next ten biggest military spending countries"" are our allies?"" Actually quite a few (in USD per No. 3 - Saudi Arabia - $87B No. 5 - UK - $55B No.6 - India - $51B No. 7 - France - $51B No. 8 - Japan - $41B No. 9 - Germany - $39B No.10- South Korea - $36B",neutral,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,civil-comments-human-crowd-aggregate
civilcomments-af64d565944ba332f861,"No. Our position as Catholics is not to weigh how well our candidate comports with his or her sect, religion, denomination, or philosophy’s beliefs. Our position as Catholics is to promote as well as we can the common good. Abortion is per se contrary to the common good. It is per se contrary to the common good whether either candidate likes it or not, or you like it or not. There is no question that the USCCB wants Catholics to identify with the Gospels and therefore the common good. If you are a Democrat first and Catholic second or third, that presents some problems.",neutral,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,civil-comments-human-crowd-aggregate
civilcomments-509960a7240c3467debe,Here in southern Az a lake near past mining still has fish in it.....Of coarse no one can eat the damn things because of high mercury/arsnic content! This was from some small mines decades ago. As much as im for free markets....I dont think a multinational corp. should be involved period. Had a chance to visit Alaska last fall with the wife and kids. The natural beauty was beyond imagination! Id hate to see it turned into toxic $h!thole for the sake of some fiat currency. Just my $.02,profanity,1,0,1,0,0,0,0.6,0.0,0.6,0.0,0.1,0.0,civil-comments-human-crowd-aggregate
civilcomments-65404cb18464cbccb979,"Protesters wanted open borders, our PM says we will take you come to Canada , government offers no support to the town. I'm thinking the protesters should step up and take one or two home . House them, feed them and clothe them. etc.",neutral,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,civil-comments-human-crowd-aggregate
civilcomments-5037ad425650edbf2e21,Omg you get more stupid every day. Did you actually understand the comment? People like you handed the office to the trumpster. Now... go back to pounding your keyboard.,insult,1,0,0,0,1,0,0.863636,0.090909,0.166667,0.030303,0.863636,0.0,civil-comments-human-crowd-aggregate
civilcomments-34549554efd59dcd307b,"Jeepers, enough with the stereotypes. I ran a race in the USA recently and ran into some American friends. One of their gang was a fast cute young lawyer; she was a life long conservative and Trump fan.",neutral,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,civil-comments-human-crowd-aggregate
civilcomments-56dc17588778e55e8f4a,"The good cop seems a lot different from the bad cop, but they're both looking for a conviction. They get paid by the same people, and work for the people who sign the checks, and primarily support the system that keeps the money coming. While it may seem that the republicans have gone off the deep end over the last eight years, pandering to the extreme elements of their base; it may also be said that the democrats have themselves gone so far to the right that they left the repubs very little room to do otherwise. If Trump had the guts to stand behind half the BS he flung to the crowds at his rallies, or if Bernie hadn't been stabbed in the back by the dems, it might have represented the kind of radical departure needed to usher in something new---Instead we'll have a clown-show that'll probably make Dubya look dignified by comparison, with any kind of populism thoroughly discredited in the eyes of the electorate. If the Republic survives that long.",neutral,0,0,0,0,0,0,0.2,0.0,0.2,0.0,0.2,0.0,civil-comments-human-crowd-aggregate
civilcomments-427474e609b13c2b3a76,"And step Down Kate Brown strikes again so because she can't do her job we can't get state jobs and let's strong arm the poor people who owe back taxes to a state who couldn't provide enough high paying jobs to pay the crazy ass taxes.. yes, Step Down Kate Brown is running the show....Uggg Oregon is so extreme left and dumb downed they elected that bitch. And Oregon being the only state in USA that has. Nothing in place to remove their Govenor, ugg!",profanity,1,0,1,0,1,0,0.7375,0.1125,0.6625,0.0625,0.6875,0.1,civil-comments-human-crowd-aggregate
civilcomments-fca5cb627b46442f1be9,And it is only geting worse I find. I think there are less chinese in China compared to Markham. And chinese are rude - this is a fact.,identity,1,0,0,0,1,1,0.6,0.0,0.0,0.0,0.5,0.7,civil-comments-human-crowd-aggregate
civilcomments-9a1faa1975fcc7956ad7,"Yeah - - because up until now, Islamic State really loved the US! And the West in general! They love us so much sometimes they cut off peoples heads to keep as a souvenir!",identity,1,0,0,0,0,1,0.8,0.1,0.1,0.4,0.2,0.5,civil-comments-human-crowd-aggregate
civilcomments-e23542cb5d8925813353,Another grand social experiment with Canadians as the lab mice.,identity,1,0,0,0,1,1,0.5,0.0,0.0,0.0,0.5,0.5,civil-comments-human-crowd-aggregate
civilcomments-39ce41c8583a0bea5da8,"Mr. Jenkins, having read your columns for many years, I'm not surprised at your baiting. However, I'm surprised you parrot the conservative line that this was a GOP victory. This was a populist, not a Republican, victory. Trump pulled off what George Wallace and Ross Perot could not. He coopted a major party and road it to an incredible upset. This is why, as you have demonstrated in this column, neither side has a clue as to where this is will take us. The danger of a populist victory is the impossibility of fulfilling the extreme promises may trigger extreme reaction, which always comes with a scapegoat or two. Hopefully, the midterm election will restore some sensibility, but by then we may all be seriously regretting this outcome.",neutral,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,civil-comments-human-crowd-aggregate
civilcomments-90d8ce2e96b5443cdbe4,The CIA said it was the Russians .... I believe them. . Trump said it was the Russians ... you believe him .. . you need to work on your trolling,neutral,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,civil-comments-human-crowd-aggregate
civilcomments-744097bceb3d06904ae0,There goes ADN again being a lackey for the Liberals again..,neutral,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,civil-comments-human-crowd-aggregate
civilcomments-7b7e78d45a7a77c4899c,"Kill this thing. Let it die already. Do people want to pave a circle 40 miles in radius around the damn hospital? If you want a town like that, go to Seattle or Texas or someplace that everything is already paved over. If you want to live in Alaska, live in Alaska and protect what's left of it.",insult,1,0,0,0,0,0,0.7,0.0,0.4,0.4,0.2,0.0,civil-comments-human-crowd-aggregate
civilcomments-416a9c6ece3659685c42,"""In a White House ceremony broadcast live on prime-time television Tuesday night"" Who broadcast this live, besides Fox News? The MSM should just have a news crawl or 15-second ""breaking news"", with ""more details at 11"". They are just giving Trump more oxygen. And CNN should follow suit and semi-ignore Trump, having been disrespected by Trump as ""fake news"".",neutral,0,0,0,0,0,0,0.3,0.0,0.0,0.0,0.3,0.0,civil-comments-human-crowd-aggregate
civilcomments-a1acc28387010617b507,"Raitt is behind Chong and O'Toole too in terms of French capabilities, in my view. Unlike O'Leary though, if Raitt is elected leader I'll give her the benefit of the doubt that she'll put in the hard work necessary between now and 2019 to get to a reasonable level. I consider Harper's French to be that reasonable level.",neutral,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,civil-comments-human-crowd-aggregate
civilcomments-189906d65f0ef36aef66,So it's not another neato gun owner?,neutral,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,civil-comments-human-crowd-aggregate
civilcomments-cf70772882eea879615f,"Demonstrators' are so funny !! Just like a pimple on the ass. A minor annoyance, soon gone and forgotten, with no lasting effect. ;-)",profanity,1,0,1,0,0,0,0.714286,0.085714,0.571429,0.0,0.4,0.028571,civil-comments-human-crowd-aggregate
civilcomments-295942f770fb2969ecbf,"Nah. The city councilor's jobs are very hard and they are not paid enough for all the crap they have to put up with, not to mention the importance of the job they do. Yes, they collectively are doing a pretty crappy job, but that is partly because nobody in their right mind would take on such a job. So we are stuck with ideologues like Kittys I and II.",neutral,0,0,0,0,0,0,0.2,0.0,0.1,0.0,0.1,0.0,civil-comments-human-crowd-aggregate
civilcomments-a0b33a3ca067f4592e61,Sue that deplorable witch right into her grave. She's a piece of dog crap.,profanity,1,0,1,0,1,0,0.7375,0.15,0.675,0.25,0.725,0.0125,civil-comments-human-crowd-aggregate
civilcomments-3539350fe9cbfb03335d,"The guy interrupted a member of the flight crew while she was giving the safety briefing. Then he was given a warning, and yet he still couldn't keep his mouth shut. Flight crews do not take any crap these days, and nor should they. If the guy is being disrespectful, rude, and can't follow instructions before they're even airborne, it's only going to get worse.",profanity,0,0,1,0,0,0,0.3,0.1,0.5,0.0,0.1,0.0,civil-comments-human-crowd-aggregate
civilcomments-2d85465c2f7e423ed37f,"In the immortal words of Fletcher from Liar Liar.......""stop breaking the law asshole!""",profanity,1,0,1,0,1,0,0.915888,0.070093,0.775701,0.004673,0.873832,0.009346,civil-comments-human-crowd-aggregate
